"","DBN","School Name","Average Score ACT Math","Percentage of 4-year Cohort Taking ACT Math","Percentage College Ready ACT Math","Average Score ACT English","Percentage of 4-year Cohort Taking ACT English","Percentage College Ready ACT English","Average Score ACT Reading","Percentage of 4-year Cohort Taking ACT Reading","Average Score ACT Science","Percentage of 4-year Cohort Taking ACT Science"
"2","28Q896","Young Women's Leadership School, Queens",NA,"0.11","1",NA,"0.11","1",NA,"0.11",NA,"0.11"
"3","30Q286","Young Women's Leadership School, Astoria",NA,"0.081","1",NA,"0.081","1",NA,"0.081",NA,"0.081"
"4","14K614","Young Women's Leadership School of Brooklyn",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"5","04M610","Young Women's Leadership School",NA,"0.155","1",NA,"0.155","1",NA,"0.099",NA,"0.155"
"6","28Q284","York Early College Academy",NA,"0.086","1",NA,"0.086","1",NA,"0.071",NA,"0.086"
"7","10X353","World View High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","25Q285","World Journalism Preparatory: A College Board Scho",NA,"0.118","1",NA,"0.118","1",NA,"0.118",NA,"0.118"
"9","19K510","World Academy for Total Community Health High Scho",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"10","08X282","Women's Academy of Excellence",NA,"0.032","0",NA,"0.032","0",NA,"0.032",NA,"0.032"
"11","12X684","Wings Academy",NA,"0.017","0",NA,"0.017","0",NA,"0.017",NA,"0.017"
"12","14K561","Williamsburg Preparatory School","20","0.215","1","18","0.215","1","20","0.116","19","0.215"
"13","14K558","Williamsburg High School for Architecture and Desi",NA,"0.02","1",NA,"0.02","0",NA,"0.014",NA,"0.02"
"14","84K355","Williamsburg Collegiate Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"15","84K473","Williamsburg Charter High School",NA,"0.026","1",NA,"0.026","1",NA,"0.019",NA,"0.026"
"16","21K620","William E. Grady Career and Technical Education Hi",NA,"0.025","1",NA,"0.025","1",NA,"0.025",NA,"0.025"
"17","30Q445","William Cullen Bryant High School","22","0.037","1","18","0.037","1","21","0.034","20","0.037"
"18","08X558","Westchester Square Academy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10X243","West Bronx Academy for the Future",NA,"0.085","1",NA,"0.085","1",NA,"0.085",NA,"0.085"
