School Name,Graduation Rate,Post-secondary Enrollment Rate,Teacher experience,Rigorous Instruction,Collaborative Teachers,Supportive Environment ,Effective School Leadership,Strong Family-Community Ties,Trust
"Young Women's Leadership School, Queens",0.88,0.85,0.77,0.50,0.52,0.72,0.63,0.57,0.63
"Young Women's Leadership School, Astoria",0.96,0.93,0.58,0.63,0.79,0.81,0.64,0.56,0.70
Young Women's Leadership School of Brooklyn,1.00,0.00,0.50,0.79,0.87,0.75,0.70,0.74,0.82
Young Women's Leadership School,0.99,0.97,0.62,0.83,0.97,0.79,0.84,0.50,0.83
York Early College Academy,0.94,0.94,0.83,0.78,0.74,0.86,0.71,0.66,0.78
World View High School,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00
World Journalism Preparatory: A College Board Scho,0.97,0.84,0.76,0.90,0.90,0.62,0.73,0.59,0.74
World Academy for Total Community Health High Scho,0.68,0.54,0.72,0.58,0.70,0.58,0.69,0.60,0.61
Women's Academy of Excellence,0.61,0.60,0.73,0.50,0.65,0.42,0.58,0.46,0.46
Wings Academy,0.62,0.52,0.84,0.43,0.64,0.52,0.49,0.46,0.37
Williamsburg Preparatory School,0.91,0.78,0.88,0.74,0.92,0.81,0.84,0.74,0.88
Williamsburg High School for Architecture and Desi,0.93,0.67,0.69,0.82,0.94,0.94,0.82,0.70,0.88
Williamsburg Collegiate Charter School,0.78,0.97,0.00,0.82,0.93,0.85,0.88,0.86,0.87
Williamsburg Charter High School,0.78,0.70,0.00,0.54,0.72,0.69,0.70,0.66,0.77
William E. Grady Career and Technical Education Hi,0.62,0.42,0.93,0.51,0.56,0.54,0.70,0.68,0.70
William Cullen Bryant High School,0.68,0.61,0.69,0.48,0.55,0.61,0.27,0.00,0.00
Westchester Square Academy,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00
West Bronx Academy for the Future,0.82,0.60,0.75,0.46,0.66,0.63,0.64,0.51,0.65
Washington Irving High School,0.51,0.41,1.00,0.00,0.00,0.00,0.00,0.00,0.00
