"","Ranking","School Name","Averaged Score (%)"
"1",1,"International Arts Business School",100
"2",2,"World View High School",97
"3",3,"Science, Technology and Research Early College Hig",97
"4",4,"School for Human Rights, The",97
"5",5,"Life Academy High School for Film and Music",97
"6",6,"International High School for Health Sciences",97
"7",7,"Bronx Collaborative High School",97
"8",8,"Special Music School",96
"9",9,"International High School at LaGuardia Community C",96
"10",10,"DreamYard Preparatory School",96
"11",11,"Brooklyn International High School",96
"12",12,"Williamsburg High School for Architecture and Desi",95
"13",13,"Expeditionary Learning School for Community Leader",95
"14",14,"University Heights Secondary School",94
"15",15,"Preparatory Academy for Writers: A College Board S",94
"16",16,"Middle College High School at LaGuardia Community",94
"17",17,"Manhattan Theatre Lab High School",94
"18",18,"Kingsborough Early College School",94
"19",19,"International Leadership Charter High School",94
"20",20,"Institute for Collaborative Education",94
"21",21,"Gregorio Luperon High School for Science and Mathe",94
"22",22,"Epic High School - North",94
"23",23,"Channel View School for Research",94
"24",24,"Achievement First Endeavor Charter School",94
"25",25,"Pathways in Technology Early College High School (",93.5
"26",26,"It Takes a Village Academy",93.5
"27",27,"Urban Assembly School for Careers in Sports",93
"28",28,"The Michael J. Petrides School",93
"29",29,"Talent Unlimited High School",93
"30",30,"Scholars' Academy",93
"31",31,"Queens High School for Language Studies",93
"32",32,"Pan American International High School at Monroe",93
"33",33,"KIPP Infinity Charter School",93
"34",34,"High School of Applied Communication",93
"35",35,"High School for Mathematics, Science and Engineeri",93
"36",36,"Comprehensive Model School Project M.S. 327",93
"37",37,"Bronx River High School",93
"38",38,"Bronx Latin",93
"39",39,"Bedford Stuyvesant Collegiate -Uncommon Collegiate",93
"40",40,"Flushing International High School",92.5
"41",41,"Bronx International High School",92.5
"42",42,"World Journalism Preparatory: A College Board Scho",92
"43",43,"Veritas Academy",92
"44",44,"Repertory Company High School for Theatre Arts",92
"45",45,"Queens High School for the Sciences at York Colleg",92
"46",46,"Millennium Brooklyn HS",92
"47",47,"Manhattan Center for Science and Mathematics",92
"48",48,"Manhattan Bridges High School",92
"49",49,"Hillcrest High School",92
