"","Ranking","School Name","Averaged Score (%)"
"1",1,"International High School at LaGuardia Community C",95
"2",2,"All City Leadership Secondary School",95
"3",3,"Williamsburg High School for Architecture and Desi",94
"4",4,"Science, Technology and Research Early College Hig",94
"5",5,"Scholars' Academy",94
"6",6,"Life Academy High School for Film and Music",94
"7",7,"Institute for Collaborative Education",94
"8",8,"Hillcrest High School",94
"9",9,"East Side Community School",94
"10",10,"Brooklyn International High School",94
"11",11,"Bronx Latin",94
"12",12,"Staten Island Technical High School",93
"13",13,"Special Music School",93
"14",14,"Pan American International High School at Monroe",93
"15",15,"International High School for Health Sciences",93
"16",16,"Gregorio Luperon High School for Science and Mathe",93
"17",17,"Business Technology Early College High School",93
"18",18,"Academy for Software Engineering",93
"19",19,"Academy for Careers in Television and Film",93
"20",20,"Repertory Company High School for Theatre Arts",92
"21",21,"Queens High School for Language Studies",92
"22",22,"Math, Engineering, and Science Academy Charter Hig",92
"23",23,"Manhattan Theatre Lab High School",92
"24",24,"Institute for Health Professions at Cambria Height",92
"25",25,"High School for Community Leadership",92
"26",26,"Flushing International High School",92
"27",27,"Fannie Lou Hamer Freedom High School",92
"28",28,"Expeditionary Learning School for Community Leader",92
"29",29,"Essex Street Academy",92
"30",30,"Energy Tech High School",92
"31",31,"Democracy Prep Charter School",92
"32",32,"Young Women's Leadership School",91
"33",33,"Williamsburg Preparatory School",91
"34",34,"Vanguard High School",91
"35",35,"University Heights Secondary School",91
"36",36,"School for Human Rights, The",91
"37",37,"Park East High School",91
"38",38,"NYC iSchool",91
"39",39,"Millennium Brooklyn HS",91
"40",40,"Manhattan Bridges High School",91
"41",41,"International Community High School",91
"42",42,"High School of American Studies at Lehman College",91
"43",43,"FRANK McCOURT HIGH SCHOOL",91
"44",44,"Epic High School - North",91
"45",45,"DreamYard Preparatory School",91
"46",46,"Discovery High School",91
"47",47,"Community School for Social Justice",91
"48",48,"Columbia Secondary School",91
"49",49,"Channel View School for Research",91
"50",50,"Central Park East High School",91
"51",51,"World View High School",90
"52",52,"University Neighborhood High School",90
"53",53,"The Urban Assembly School for Law and Justice",90
"54",54,"The Urban Assembly School for Global Commerce",90
"55",55,"The Michael J. Petrides School",90
"56",56,"Schuylerville Preparatory High School",90
"57",57,"School of the Future High School",90
"58",58,"Queens High School for the Sciences at York Colleg",90
"59",59,"Preparatory Academy for Writers: A College Board S",90
"60",60,"Metropolitan Expeditionary Learning School",90
"61",61,"Manhattan Early College School for Advertising",90
"62",62,"Inwood Early College for Health and Information Te",90
"63",63,"International School for Liberal Arts",90
"64",64,"Hillside Arts & Letters Academy",90
"65",65,"High School of  Telecommunication Arts and Technol",90
"66",66,"High School for Public Service: Heroes  of Tomorro",90
"67",67,"High School for Arts and Business",90
"68",68,"Facing History School, The",90
"69",69,"Eximius College Preparatory Academy: A College Boa",90
"70",70,"CSI High School for International Studies",90
"71",71,"Community Health Academy of the Heights",90
"72",72,"Brooklyn Prospect Charter School",90
"73",73,"Brooklyn Latin School, The",90
"74",74,"Brooklyn College Academy",90
"75",75,"Bronx Collaborative High School",90
"76",76,"Bedford Academy High School",90
"77",77,"Beacon High School",90
"78",78,"Baruch College Campus High School",90
"79",79,"Bard High School Early College Queens",90
"80",80,"Urban Assembly Gateway School for Technology",89
