"","Ranking","School Name","US History Score (%)","Global History Score (%)","Averaged Score (%)"
"1",1,"Townsend Harris High School",97,95,96
"2",2,"Bronx High School of Science",97,95,96
"3",3,"Stuyvesant High School",96,94,95
"4",4,"High School of American Studies at Lehman College",97,93,95
"5",5,"Queens High School for the Sciences at York Colleg",92,95,94
"6",6,"Brooklyn Technical High School",95,92,94
"7",7,"Staten Island Technical High School",94,92,93
"8",8,"Baccalaureate School for Global Education",95,91,93
"9",9,"High School for Mathematics, Science and Engineeri",94,89,92
"10",10,"Eleanor Roosevelt High School",94,91,92
"11",11,"Scholars' Academy",89,92,90
"12",12,"N.Y.C. Museum School",90,89,90
"13",13,"Millennium High School",91,89,90
"14",14,"New Explorations into Science, Technology and Math",91,87,89
"15",15,"Manhattan / Hunter Science High School",90,88,89
"16",16,"Fiorello H. LaGuardia High School of Music & Art a",91,87,89
"17",17,"Columbia Secondary School",89,89,89
"18",18,"Queens Gateway to Health Sciences Secondary School",91,84,88
"19",19,"N.Y.C. Lab School for Collaborative Studies",93,82,88
"20",20,"Baruch College Campus High School",89,87,88
"21",21,"Leon M. Goldstein High School for the Sciences",93,81,87
"22",22,"Millennium Brooklyn HS",89,83,86
"23",23,"High School for Dual Language and Asian Studies",86,85,86
"24",24,"Frank Sinatra School of the Arts High School",91,82,86
"25",25,"Brooklyn Latin School, The",89,82,86
"26",26,"Brooklyn College Academy",90,83,86
"27",27,"Bedford Academy High School",89,84,86
"28",28,"Young Women's Leadership School",87,83,85
"29",29,"Talent Unlimited High School",89,81,85
"30",30,"Manhattan Village Academy",90,80,85
"31",31,"Manhattan Center for Science and Mathematics",90,80,85
"32",32,"CSI High School for International Studies",90,80,85
"33",33,"Urban Assembly School for Criminal Justice",90,79,84
"34",34,"Maspeth High School",88,81,84
"35",35,"East-West School of International Studies",91,77,84
"36",36,"Bard High School Early College",84,83,84
"37",37,"Academy of Finance and  Enterprise",87,80,84
"38",38,"York Early College Academy",85,81,83
"39",39,"Marble Hill High School for International Studies",87,79,83
"40",40,"Williamsburg Collegiate Charter School",89,76,82
"41",41,"NYC iSchool",85,79,82
"42",42,"Life Academy High School for Film and Music",86,78,82
"43",43,"KIPP AMP Charter School",85,80,82
"44",44,"Kings Collegiate Charter School",89,75,82
"45",45,"High School for Public Service: Heroes  of Tomorro",87,78,82
"46",46,"Harlem Children's Zone Promise Academy II Charter",86,79,82
"47",47,"Discovery High School",87,78,82
"48",48,"Democracy Prep Charter School",84,81,82
"49",49,"City College Academy of the Arts",84,79,82
"50",50,"Bronx Center for Science and Mathematics",87,77,82
"51",51,"Bard High School Early College Queens",84,81,82
"52",52,"Aviation Career & Technical Education High School",87,78,82
"53",53,"All City Leadership Secondary School",82,81,82
"54",54,"Academy of American Studies",84,81,82
"55",55,"Academy for Careers in Television and Film",86,77,82
"56",56,"Achievement First Bushwick Charter School",83,79,81
"57",57,"Young Women's Leadership School, Astoria",86,73,80
"58",58,"Urban Assembly Gateway School for Technology",84,75,80
"59",59,"University Prep Charter High School",86,75,80
"60",60,"Thomas A. Edison Career and Technical Education Hi",86,73,80
"61",61,"Professional Performing Arts High School",83,77,80
"62",62,"Pace High School",87,72,80
"63",63,"KIPP Academy Charter School",83,78,80
"64",64,"High School for Construction Trades, Engineering a",84,77,80
"65",65,"Francis Lewis High School",83,77,80
"66",66,"Forest Hills High School",83,76,80
"67",67,"Central Park East High School",83,77,80
"68",68,"Benjamin N. Cardozo High School",84,75,80
"69",69,"Urban Assembly School for Applied Math and Science",82,74,78
"70",70,"Science, Technology and Research Early College Hig",80,75,78
"71",71,"Queens School of Inquiry, The",74,81,78
"72",72,"QUEENS METROPOLITAN HIGH SCHOOL",83,73,78
"73",73,"Midwood High School",83,74,78
"74",74,"Medgar Evers College Preparatory School",80,77,78
"75",75,"KIPP STAR College Prep Charter School",81,76,78
"76",76,"KIPP Infinity Charter School",81,76,78
"77",77,"Hyde Leadership Charter School",84,71,78
"78",78,"High School for Health Professions and Human Servi",82,73,78
"79",79,"High School for Community Leadership",77,79,78
"80",80,"High School for Arts and Business",82,73,78
"81",81,"Bedford Stuyvesant Collegiate -Uncommon Collegiate",85,71,78
"82",82,"The Urban Assembly School for Law and Justice",77,77,77
"83",83,"Susan E. Wagner High School",82,72,77
"84",84,"Repertory Company High School for Theatre Arts",84,70,77
"85",85,"International Leadership Charter High School",85,69,77
"86",86,"Brooklyn Prospect Charter School",80,74,77
"87",87,"Young Women's Leadership School, Queens",80,73,76
"88",88,"World Journalism Preparatory: A College Board Scho",75,76,76
"89",89,"Williamsburg Preparatory School",80,71,76
"90",90,"Tottenville High School",80,72,76
"91",91,"The High School of Fashion Industries",81,72,76
"92",92,"THE CINEMA SCHOOL",83,69,76
"93",93,"Robert H. Goddard High School of Communication Art",82,70,76
"94",94,"Riverdale / Kingsbridge Academy (Middle School / H",83,70,76
"95",95,"Renaissance Charter School",82,70,76
"96",96,"Northside Charter High School",78,73,76
"97",97,"New Heights Academy Charter School",85,68,76
"98",98,"MANHATTAN BUSINESS ACADEMY",84,69,76
"99",99,"Kingsborough Early College School",76,76,76
"100",100,"Hostos-Lincoln Academy of Science",82,71,76
"101",101,"Harlem Village Academy Leadership Charter School",79,72,76
"102",102,"FRANK McCOURT HIGH SCHOOL",75,77,76
"103",103,"Fort Hamilton High School",81,71,76
"104",104,"Edward R. Murrow High School",83,70,76
"105",105,"Comprehensive Model School Project M.S. 327",74,77,76
"106",106,"Civic Leadership Academy",79,74,76
"107",107,"Chelsea Career and Technical Education High School",83,70,76
"108",108,"Brooklyn Studio Secondary School",83,68,76
"109",109,"Bronx Lighthouse Charter School",78,75,76
"110",110,"Achievement First Endeavor Charter School",80,71,76
"111",111,"Achievement First Crown Heights Charter School",81,72,76
"112",112,"South Bronx Preparatory: A College Board School",78,72,75
"113",113,"Renaissance High School for Musical Theater & Tech",80,70,75
"114",114,"Mott Hall V",83,67,75
"115",115,"High School of Computers and Technology",82,68,75
"116",116,"Bayside High School",79,71,75
"117",117,"Williamsburg High School for Architecture and Desi",81,68,74
"118",118,"Queens Vocational and Technical High School",70,77,74
"119",119,"Queens High School of Teaching, Liberal Arts and t",80,69,74
"120",120,"New Utrecht High School",77,70,74
"121",121,"James Madison High School",72,77,74
"122",122,"Jamaica Gateway to the Sciences",80,69,74
"123",123,"High School of Economics and Finance",80,69,74
"124",124,"Harlem Village Academy Charter School",79,70,74
"125",125,"Harlem Children's Zone Promise Academy 1 Charter S",77,70,74
"126",126,"Gaynor McCown Expeditionary Learning School",79,69,74
"127",127,"Franklin Delano Roosevelt High School",80,69,74
"128",128,"Collegiate Institute for Math and Science",80,68,74
"129",129,"Channel View School for Research",76,71,74
"130",130,"Celia Cruz Bronx High School of Music, The",79,69,74
"131",131,"Belmont Preparatory High School",74,73,74
"132",132,"Art and Design High School",80,68,74
"133",133,"Urban Assembly New York Harbor School",77,69,73
"134",134,"Union Square Academy for Health Sciences",81,65,73
"135",135,"Pelham Preparatory Academy",81,65,73
"136",136,"High School for Environmental Studies",79,67,73
"137",137,"Brooklyn High School of the Arts",78,68,73
"138",138,"Bronx Preparatory Charter School",80,66,73
"139",139,"The Michael J. Petrides School",73,71,72
"140",140,"Summit Academy Charter School",80,64,72
"141",141,"Robert F. Kennedy Community High School",75,68,72
"142",142,"New Dorp High School",77,67,72
"143",143,"Manhattan Bridges High School",80,65,72
"144",144,"Lower Manhattan Arts Academy",79,66,72
"145",145,"Knowledge and Power Preparatory Academy Internatio",77,67,72
"146",146,"John Dewey High School",75,69,72
"147",147,"Hillcrest High School",75,68,72
"148",148,"High School of Hospitality Management",72,72,72
"149",149,"High School of Applied Communication",80,63,72
"150",150,"High School of  Telecommunication Arts and Technol",77,68,72
"151",151,"Frederick Douglass Academy",74,69,72
"152",152,"Fordham High School for the Arts",77,68,72
"153",153,"Brooklyn Generation School",77,66,72
"154",154,"Bronx School for Law, Government and Justice",76,69,72
"155",155,"Academy for Language and Technology",76,67,72
"156",156,"Queens Collegiate: A College Board School",72,70,71
"157",157,"Park East High School",73,69,71
"158",158,"Marta Valle High School",79,63,71
"159",159,"It Takes a Village Academy",73,69,71
"160",160,"International School for Liberal Arts",78,64,71
"161",161,"Brooklyn High School for Law and Technology",77,65,71
"162",162,"Astor Collegiate Academy",75,67,71
"163",163,"Academy of Innovative Technology",75,67,71
"164",164,"Academy for Software Engineering",74,68,71
"165",165,"William Cullen Bryant High School",76,63,70
"166",166,"Westchester Square Academy",76,65,70
"167",167,"Washington Heights Expeditionary Learning School",76,64,70
"168",168,"Urban Assembly Academy of Government and Law, The",76,65,70
"169",169,"The High School for Enterprise, Business and Techn",77,62,70
"170",170,"Teachers Preparatory High School",75,66,70
"171",171,"Robert F. Wagner, Jr. Secondary School for Arts an",74,66,70
"172",172,"Rachel Carson High School for Coastal Studies",74,67,70
"173",173,"Quest to Learn",77,63,70
"174",174,"Newcomers High School",76,65,70
"175",175,"New Visions Charter High School for Advanced Math",72,67,70
"176",176,"Mott Haven Village Preparatory High School",77,62,70
"177",177,"Kingsbridge International High School",73,66,70
"178",178,"Khalil Gibran International Academy",77,64,70
"179",179,"Information Technology High School",72,67,70
"180",180,"Health Opportunities High School",67,72,70
"181",181,"Gregorio Luperon High School for Science and Mathe",74,65,70
"182",182,"Food and Finance High School",75,66,70
"183",183,"Eagle Academy for Young Men III",69,71,70
"184",184,"Brooklyn Preparatory High School",75,65,70
"185",185,"Brooklyn Institute for Liberal Arts",71,70,70
"186",186,"Bronx Latin",77,64,70
"187",187,"Bronx High School for Medical Science",67,74,70
"188",188,"Bronx Early College Academy for Teaching & Learnin",77,63,70
"189",189,"Williamsburg Charter High School",73,65,69
"190",190,"The Urban Assembly Bronx Academy of Letters",73,65,69
"191",191,"Preparatory Academy for Writers: A College Board S",71,67,69
"192",192,"John W. Lavelle Preparatory Charter School",59,79,69
"193",193,"John Bowne High School",74,64,69
"194",194,"George Washington Carver High School for the Scien",73,65,69
"195",195,"City Polytechnic High School of Engineering, Archi",73,65,69
"196",196,"Bronx School of Law and Finance",76,62,69
"197",197,"Bronx Health Sciences High School",74,64,69
"198",198,"Benjamin Banneker Academy",62,76,69
"199",199,"Academy for Young Writers",73,65,69
"200",200,"Young Women's Leadership School of Brooklyn",74,62,68
"201",201,"Wadleigh Secondary School for the Performing & Vis",73,63,68
"202",202,"Validus Preparatory Academy: An Expeditionary Lear",66,69,68
"203",203,"Urban Assembly School for Careers in Sports",73,62,68
"204",204,"University Neighborhood High School",69,67,68
"205",205,"Unity Center for Urban Technologies",74,61,68
"206",206,"New World High School",78,57,68
"207",207,"New Design High School",71,64,68
"208",208,"Mott Hall Bronx High School",76,59,68
"209",209,"MANHATTAN ACADEMY FOR ARTS & LANGUAGE",71,65,68
"210",210,"Jacqueline Kennedy Onassis High School",72,63,68
"211",211,"Hillside Arts & Letters Academy",75,62,68
"212",212,"High School for Medical Professions",71,66,68
"213",213,"High School for Law, Advocacy and Community Justic",73,63,68
"214",214,"High School for Law Enforcement and Public Safety",75,61,68
"215",215,"High School for Law and Public Service",74,63,68
"216",216,"High School for Energy and Technology",78,58,68
"217",217,"Harry S Truman High School",65,71,68
"218",218,"Gramercy Arts High School",71,65,68
"219",219,"Curtis High School",73,63,68
"220",220,"Brooklyn Academy of Science and the Environment",74,62,68
"221",221,"Bronx Studio School for Writers and Artists",75,62,68
"222",222,"A. Philip Randolph Campus High School",75,62,68
"223",223,"The Uft Charter School",70,64,67
"224",224,"School for Human Rights, The",72,62,67
"225",225,"PROGRESS High School for Professional Careers",71,63,67
"226",226,"John Adams High School",70,64,67
"227",227,"High School of World Cultures",73,61,67
"228",228,"High School for Arts, Imagination and Inquiry",75,59,67
"229",229,"Brooklyn School for Music & Theatre",71,63,67
"230",230,"World Academy for Total Community Health High Scho",76,57,66
"231",231,"Urban Assembly School for the Performing Arts",72,59,66
