"","DBN","School Name","Average Score Regents Algebra","Percentage Passing Regents Algebra","Percentage at college ready threshold Regents Algebra","Average Score Regents Geometry","Percentage Passing Regents Geometry","Percentage at college ready threshold Regents Geometry","Average Score Regents Algebra 2/Trig","Percentage Passing Regents Algebra 2/Trig","Percentage at college ready threshold Regents Algebra 2/Trig","Average Score Regents English","Percentage Passing Regents English","Percentage at college ready threshold Regents English","Average Score Regents US History","Percentage Passing Regents US History","Average Score Regents Global History","Percentage Passing Regents Global History","Average Score Regents Chemistry","Percentage Passing Regents Chemistry","Average Score Regents Physics","Percentage Passing Regents Physics","Average Score Regents Earth Science","Percentage Passing Regents Earth Science","Average Score Regents Living Environment","Percentage Passing Regents Living Environment","Average Score Regents Languages Other Than English","Percentage Passing Regents Languages Other Than English"
"2","01M292","Henry Street School for International Studies","64","0.524","0.063","58","0.333","0.056",NA,NA,NA,"66","0.621","0.318","71","0.756","53","0.207",NA,NA,NA,NA,"45","0.1","55","0.319",NA,NA
"3","01M448","University Neighborhood High School","64","0.55","0.042","68","0.598","0.195","62","0.533","0.222","69","0.722","0.417","69","0.694","67","0.637","61","0.4",NA,NA,"65","0.544","68","0.714","85","0.892"
"4","01M450","East Side Community School",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","0.923","0.538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","01M509","Marta Valle High School","61","0.407","0.028","66","0.632","0.079","74","0.684","0.421","69","0.738","0.458","79","0.857","63","0.6","73","0.867",NA,NA,"71","0.727","64","0.57","91","1"
"6","01M539","New Explorations into Science, Technology and Math","80","0.915","0.532","83","0.968","0.686","80","0.878","0.581","91","0.995","0.974","91","0.987","87","0.967","80","0.936","81","0.887",NA,NA,"88","0.992","89","0.975"
"7","01M696","Bard High School Early College","73","0.955","0.091",NA,NA,NA,NA,NA,NA,"92","1","0.984","84","0.97","83","0.953","79","0.953",NA,NA,NA,NA,NA,NA,NA,NA
"8","02M047","47 The American Sign Language and English Secondar","60","0.431","0","57","0.309","0",NA,NA,NA,"67","0.661","0.339","70","0.69","57","0.316",NA,NA,"45","0.056","65","0.568","66","0.646","80","0.929"
"9","02M135","The Urban Assembly School for Emergency Management","62","0.458","0.014","72","0.814","0.186",NA,NA,NA,"85","0.972","0.903",NA,NA,"71","0.725",NA,NA,NA,NA,"70","0.712","75","0.882",NA,NA
"10","02M139","Stephen T. Mather Building Arts & Craftsmanship Hi","60","0.333","0.029","52","0.186","0",NA,NA,NA,NA,NA,NA,"56","0.34",NA,NA,NA,NA,NA,NA,NA,NA,"66","0.639",NA,NA
"11","02M280","Manhattan Early College School for Advertising","66","0.69","0.034","73","0.833","0.222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","0.889",NA,NA
