Name,Sub,Score
"Young Women's Leadership School, Queens",Math,415
"Young Women's Leadership School, Astoria",Math,483
Young Women's Leadership School of Brooklyn,Math,NA
Young Women's Leadership School,Math,478
York Early College Academy,Math,496
World View High School,Math,NA
World Journalism Preparatory: A College Board Scho,Math,484
World Academy for Total Community Health High Scho,Math,380
Women's Academy of Excellence,Math,386
Wings Academy,Math,379
Williamsburg Preparatory School,Math,443
Williamsburg High School for Architecture and Desi,Math,415
Williamsburg Collegiate Charter School,Math,NA
Williamsburg Charter High School,Math,406
William E. Grady Career and Technical Education Hi,Math,416
William Cullen Bryant High School,Math,466
Westchester Square Academy,Math,NA
West Bronx Academy for the Future,Math,404
Washington Irving High School,Math,423
Washington Heights Expeditionary Learning School,Math,443
Wadleigh Secondary School for the Performing & Vis,Math,381
W. H. Maxwell Career and Technical Education High,Math,326
Victory Collegiate High School,Math,386
Veritas Academy,Math,NA
Vanguard High School,Math,431
Validus Preparatory Academy: An Expeditionary Lear,Math,382
"Urban Assembly School of Design and Construction,",Math,445
"Urban Assembly School of Business for Young Women,",Math,418
Urban Assembly School for Wildlife Conservation,Math,393
Urban Assembly School for the Performing Arts,Math,379
"Urban Assembly School for Media Studies, The",Math,392
Urban Assembly School for Criminal Justice,Math,428
Urban Assembly School for Careers in Sports,Math,402
Urban Assembly School for Applied Math and Science,Math,445
Urban Assembly New York Harbor School,Math,446
Urban Assembly Maker Academy,Math,NA
Urban Assembly Institute of Math and Science for Y,Math,397
Urban Assembly High School of Music and Art,Math,372
Urban Assembly Gateway School for Technology,Math,445
"Urban Assembly Academy of Government and Law, The",Math,389
Urban Action Academy,Math,362
University Prep Charter High School,Math,449
University Neighborhood High School,Math,437
University Heights Secondary School,Math,420
Unity Center for Urban Technologies,Math,375
Union Square Academy for Health Sciences,Math,NA
Transit Tech Career and Technical Education High S,Math,387
Townsend Harris High School,Math,680
Tottenville High School,Math,494
Thurgood Marshall Academy for Learning and Social,Math,402
Thomas A. Edison Career and Technical Education Hi,Math,514
Theatre Arts Production Company School,Math,402
The Urban Assembly School for Law and Justice,Math,446
The Urban Assembly School for Green Careers,Math,393
The Urban Assembly School for Global Commerce,Math,NA
The Urban Assembly School for Emergency Management,Math,NA
The Urban Assembly School for Collaborative Health,Math,NA
The Urban Assembly Bronx Academy of Letters,Math,398
The Uft Charter School,Math,386
"The School for Classics: An Academy of Thinkers, W",Math,387
The Opportunity Charter School,Math,369
The Michael J. Petrides School,Math,483
The Metropolitan Soundview High School,Math,444
"The Marie Curie School for Medicine, Nursing, and",Math,423
The High School of Fashion Industries,Math,433
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,Math,446
The High School for Global Citizenship,Math,377
"The High School for Enterprise, Business and Techn",Math,463
The Global Learning Collaborative,Math,406
The Equality Charter School,Math,NA
The College Academy,Math,367
THE CINEMA SCHOOL,Math,430
The Brooklyn School for Math and Research,Math,NA
The Brooklyn Academy of Global Finance,Math,395
The Bronxwood Preparatory Academy,Math,392
Teachers Preparatory High School,Math,394
Talent Unlimited High School,Math,485
Susan E. Wagner High School,Math,496
Sunset Park High School,Math,398
Summit Academy Charter School,Math,NA
Stuyvesant High School,Math,754
Stephen T. Mather Building Arts & Craftsmanship Hi,Math,NA
Staten Island Technical High School,Math,711
Special Music School,Math,NA
South Bronx Preparatory: A College Board School,Math,419
Sheepshead Bay High School,Math,381
Secondary School for Law,Math,420
Secondary School for Journalism,Math,408
"Science, Technology and Research Early College Hig",Math,496
"Science Skills Center High School for Science, Tec",Math,399
Schuylerville Preparatory High School,Math,NA
School of the Future High School,Math,534
School for Tourism and Hospitality,Math,NA
School for Legal Studies,Math,393
School for International Studies,Math,417
"School for Human Rights, The",Math,398
School for Excellence,Math,377
School for Democracy and  Leadership,Math,386
Scholars' Academy,Math,588
Samuel Gompers Career and Technical Education High,Math,NA
Rockaway Park High School for Environmental Sustai,Math,357
Rockaway Collegiate High School,Math,399
Robert H. Goddard High School of Communication Art,Math,426
"Robert F. Wagner, Jr. Secondary School for Arts an",Math,478
Robert F. Kennedy Community High School,Math,460
Riverdale / Kingsbridge Academy (Middle School / H,Math,496
Richmond Hill High School,Math,413
Richard R. Green High School of Teaching,Math,411
Repertory Company High School for Theatre Arts,Math,425
Renaissance High School for Musical Theater & Tech,Math,390
Renaissance Charter School,Math,459
Renaissance Charter High School for Innovation,Math,372
Ralph R. McKee Career and Technical Education High,Math,420
Rachel Carson High School for Coastal Studies,Math,436
Quest to Learn,Math,NA
Queens Vocational and Technical High School,Math,467
"Queens School of Inquiry, The",Math,516
Queens Preparatory Academy,Math,423
QUEENS METROPOLITAN HIGH SCHOOL,Math,460
"Queens High School of Teaching, Liberal Arts and t",Math,453
Queens High School for the Sciences at York Colleg,Math,701
Queens High School for Language Studies,Math,NA
"Queens High School for Information, Research, and",Math,372
Queens Gateway to Health Sciences Secondary School,Math,524
Queens Collegiate: A College Board School,Math,455
PROGRESS High School for Professional Careers,Math,380
Professional Performing Arts High School,Math,496
Preparatory Academy for Writers: A College Board S,Math,398
Port Richmond High School,Math,432
Performing Arts and Technology High School,Math,375
Pelham Preparatory Academy,Math,420
Pelham Lab High School,Math,NA
Peace and Diversity Academy,Math,366
